code,terms,primary,note
# ---------------------------------------------------------------------------
# Everyday vocabulary -> HS code.
#
# code     2, 4 or 6 digit HS code.
# terms    Semicolon-separated words people actually type.
# primary  yes  = searching any of these terms produces the confident
#                "<term> sits in HS <code>" answer card.
#          no   = the terms only boost ranking; no answer card.
# note     One short plain sentence shown under the answer card.
#
# THE ORGANISING RULE
#   A generic or plural term answers at HS-4:   "batteries"  -> 8507
#   A specific product term answers at HS-6:    "lithium ion battery" -> 850760
# That is what makes the 2- and 4-digit codes first-class rather than a
# by-product of the six-digit list. When someone asks about a category they
# get the category; when they ask about a product they get the product.
#
# A hand-written row here always wins over the automatic rule that promotes
# a unique product label from fed_sector_definition.csv to an answer term.
#
# Lines starting with # are ignored. Edit freely, then re-run
# `python pipeline/build_hs_library.py`.
# ---------------------------------------------------------------------------

# ===========================================================================
# CHAPTER 84 - computing, office and white goods machinery
# ===========================================================================
84,machinery;mechanical appliances;computing machinery;industrial machinery,yes,Chapter 84 - machinery and mechanical appliances, including all computing hardware.
8414,compressors;fans;blowers;air pumps,yes,Air and gas pumps, compressors and fans.
841430,refrigeration compressor;ac compressor;fridge compressor;hermetic compressor,yes,Compressors of a kind used in refrigerating and air-conditioning equipment.
841451,ceiling fan;table fan;pedestal fan;exhaust fan;wall fan;household fan,yes,Household fans with a self-contained motor of 125 W or less.
841459,industrial fan;commercial fan;blower;axial fan,yes,Fans larger than the household type.
8415,air conditioner;air conditioners;air conditioning;ac units;cooling equipment,yes,Air-conditioning machines of all types.
841510,window ac;room air conditioner;split ac;self-contained air conditioner,yes,Window and wall-type air-conditioning machines.
841581,commercial ac with heat pump;reversible air conditioner;ducted ac,yes,Non-window air conditioners incorporating a refrigerating unit and a reversing valve.
841583,commercial ac without refrigeration;air handling unit,yes,Non-window air conditioners without a refrigerating unit.
841582,central ac;chiller;packaged air conditioner,yes,Other air conditioners incorporating a refrigerating unit.
841590,ac parts;air conditioner parts;indoor unit;outdoor unit;evaporator coil,yes,Parts of air-conditioning machines.
8418,refrigeration;refrigerators;freezers;cold storage,yes,Refrigerating and freezing equipment.
841810,refrigerator;fridge;double door fridge;combined fridge freezer,yes,Combined refrigerator-freezers with separate external doors.
841861,heat pump;water source heat pump,yes,Heat pumps other than air-conditioning machines.
841869,commercial refrigeration;display cooler;visi cooler;bottle cooler,yes,Refrigerating and freezing equipment not covered elsewhere in 8418.
841899,fridge parts;refrigerator parts;freezer parts;evaporator,yes,Parts of refrigerating and freezing equipment.
8419,water heater;geyser;non-electric heater,no,
841911,gas water heater;instant gas geyser,yes,Instantaneous gas water heaters.
841912,solar water heater;solar geyser,yes,Solar water heaters.
8422,dishwashers;dish washing,no,
842211,dishwasher;dish washer;household dishwasher,yes,Household dishwashing machines.
8423,weighing machines;scales;weighing scales,yes,Weighing machinery of all kinds.
842310,personal scale;bathroom scale;baby scale;kitchen scale,yes,Personal and household weighing scales.
842320,conveyor scale;continuous weigher,yes,Scales for continuous weighing of goods on conveyors.
842330,constant weight scale;bagging scale;filling scale,yes,Constant-weight scales and bagging scales.
842381,commercial scale small;shop scale;retail weighing scale,yes,Commercial weighing machines of limited capacity.
842382,platform scale;industrial weighing scale,yes,Commercial weighing machines of higher capacity.
842389,weighbridge;heavy duty scale,yes,Commercial weighing machines above the 842382 capacity band.
842390,weighing machine parts;calibration weights,yes,Weights of all kinds and parts of weighing machinery.
8443,printing machinery;printers;copiers;printing presses,yes,Printing machinery, printers, copiers and facsimile machines.
844311,offset press reel fed;web offset press,no,
844312,offset press sheet fed office;small offset press,no,
844313,offset press;offset printing machine,yes,Offset printing machinery other than reel-fed or office sheet-fed.
844316,flexographic press;flexo printing machine,yes,Flexographic printing machinery.
844317,gravure press;rotogravure printing machine,yes,Gravure printing machinery.
844319,other printing press;letterpress machine;screen printing machine,yes,Printing machinery using plates and cylinders not covered elsewhere.
844331,multifunction printer;all in one printer;mfp;printer scanner copier,yes,Machines performing two or more of printing, copying or faxing, connectable to a computer or network.
844332,printer;inkjet printer;laser printer;network printer,yes,Single-function printers and copiers that connect to a computer or network.
844339,standalone copier;photocopier;non-networked printer,yes,Single-function printers and copiers that do not connect to a computer or network.
844391,printing press parts;printing components,yes,Parts and accessories of the printing machinery of 8443.1.
844399,printer parts;printer cartridge assembly;print head;toner assembly,yes,Parts and accessories of printers, copiers and facsimile machines.
8450,washing machines;laundry machines,yes,Household and laundry-type washing machines.
845011,washing machine;front load washing machine;top load washing machine;automatic washing machine,yes,Fully automatic household washing machines up to 10 kg dry linen.
845012,semi automatic washing machine;twin tub washing machine,yes,Household washing machines with a built-in spin drier, not fully automatic.
845019,manual washing machine;non automatic washer,yes,Household washing machines that are neither fully automatic nor fitted with a spin drier.
845020,commercial washing machine;industrial washer;laundry washer,yes,Washing machines above 10 kg dry linen capacity.
8451,clothes dryers;drying machines;tumble dryers,yes,Drying machines for textiles and laundry.
845121,clothes dryer;tumble dryer;household dryer,yes,Drying machines up to 10 kg dry linen capacity.
845129,commercial dryer;industrial drying machine,yes,Drying machines above 10 kg dry linen capacity.
8456,laser cutting machine;machine tools,no,
845610,laser machine tool;laser cutter;laser marking machine,yes,Machine tools that work material by laser or other light beam.
8470,calculators;calculating machines;accounting machines,yes,Calculating machines, cash registers and similar.
847010,pocket calculator;scientific calculator;electronic calculator,yes,Electronic calculators that run without an external power source.
847021,printing calculator;desktop calculator with printer,yes,Electronic calculating machines with a printing device.
847029,desktop calculator;mains calculator,yes,Electronic calculating machines without a printing device.
847030,mechanical calculator;non electronic calculator,yes,Non-electronic calculating machines.
8471,computer;computers;computing;pc hardware;data processing machines,yes,Computers and their units - laptops, desktops, servers, storage and peripherals.
847130,laptop;laptops;notebook computer;notebook;portable computer;macbook;chromebook;ultrabook,yes,A laptop is a portable data-processing machine under 10 kg with a CPU, keyboard and display.
847141,all in one pc;mini pc;small form factor pc;integrated desktop,yes,Machines housing the CPU with an input and output unit together.
847149,computer system;server;workstation;rack server;pc system,yes,Data-processing machines presented as complete systems.
847150,desktop;desktop computer;pc;personal computer;tower pc;processing unit,yes,Processing units presented separately - the box in a desktop PC.
847160,keyboard;mouse;computer mouse;scanner;webcam;input device;output device;trackpad,yes,Input and output units of data-processing machines.
847170,hard drive;hdd;ssd;solid state drive;external hard disk;nvme;storage unit,yes,Storage units of data-processing machines.
847180,graphics card;gpu card;video card;expansion card;network card;sound card,yes,Other units of data-processing machines, including add-in cards.
847190,card reader;optical reader;magnetic reader;barcode reader,yes,Magnetic and optical readers and data-transcribing machines.
8472,office machines;office equipment,no,
8473,computer parts;pc parts;peripheral parts;computer accessories,yes,Parts and accessories of computers and office machines.
847330,motherboard;mainboard;logic board;laptop parts;pc components,yes,Parts and accessories of computers, including motherboards.
8476,vending machines,yes,Automatic goods and beverage vending machines.
847621,hot drinks vending machine;coffee vending machine,yes,Beverage vending machines with heating or refrigeration.
847629,cold drinks vending machine,yes,Beverage vending machines without heating or refrigeration.
847681,vending machine with cooling;refrigerated vending machine,yes,Goods vending machines incorporating heating or refrigerating devices.
847689,vending machine;snack vending machine;atm vending,yes,Goods vending machines without heating or refrigerating devices.

# ===========================================================================
# CHAPTER 85 - electrical machinery and electronics
# ===========================================================================
85,electronics;electrical machinery;electrical equipment;electricals,yes,Chapter 85 - electrical machinery and electronics. Most of the FED sector sits here.
8501,electric motors;motors,no,
850110,micro motor;small motor;bldc motor;fractional horsepower motor,yes,Electric motors of 37.5 W output or less.
8504,power supply;converters;transformers;chargers,yes,Transformers, static converters and inductors.
850421,distribution transformer small;oil filled transformer,no,
850422,distribution transformer;power transformer medium,no,
850423,power transformer;grid transformer;large power transformer,yes,Liquid-dielectric transformers above 10000 kVA.
850431,small transformer;control transformer;low power transformer,yes,Dry-type transformers up to 1 kVA.
850432,transformer 1 to 16 kva;dry type transformer,no,
850433,transformer 16 to 500 kva,no,
850434,transformer above 500 kva,no,
850440,charger;phone charger;laptop adapter;power adapter;adaptor;smps;inverter;static converter;power supply;ups,yes,Electrical static converters - chargers, adapters, SMPS and inverters.
850450,inductor;choke;coil,yes,Electrical inductors.
850490,transformer parts;charger parts;adapter parts;converter parts,yes,Parts of transformers, static converters and inductors.
8505,magnets;permanent magnets,yes,Permanent magnets and electromagnets.
850511,permanent magnet;neodymium magnet;rare earth magnet;ndfeb magnet,yes,Metal permanent magnets, including rare-earth types.
850519,ferrite magnet;ceramic magnet;bonded magnet,yes,Non-metal permanent magnets.
8506,primary batteries;dry cells;disposable batteries,yes,Primary cells and batteries - the non-rechargeable kind.
850610,alkaline battery;aa battery;aaa battery;manganese dioxide battery;dry cell,yes,Primary manganese-dioxide cells - ordinary alkaline batteries.
850630,mercuric oxide battery,no,
850640,silver oxide battery;button cell silver,yes,Primary silver-oxide cells.
850650,lithium primary battery;coin cell;cr2032;button cell lithium,yes,Primary lithium cells - coin and button cells.
850660,zinc air battery;hearing aid battery,yes,Primary air-zinc cells.
850680,other primary battery,no,
8507,battery;batteries;rechargeable battery;accumulator;energy storage,yes,Electric accumulators - rechargeable batteries of every chemistry.
850710,car battery;automotive battery;starter battery;sli battery,yes,Lead-acid accumulators for starting piston engines.
850720,inverter battery;ups battery;stationary lead acid battery;tubular battery,yes,Lead-acid accumulators other than engine-starting types.
850730,nickel cadmium battery;nicd battery,yes,Nickel-cadmium accumulators.
850740,nickel iron battery,no,
850750,nickel metal hydride battery;nimh battery,yes,Nickel-metal-hydride accumulators.
850760,lithium ion battery;li-ion battery;lithium battery;battery pack;ev battery;laptop battery;phone battery;cell;power bank cell,yes,Lithium-ion accumulators, including cells, packs and separators.
850780,other accumulator;sodium ion battery;flow battery,yes,Accumulators of chemistries other than lead-acid, nickel or lithium-ion.
8508,vacuum cleaners,yes,Vacuum cleaners of all types.
850811,vacuum cleaner;household vacuum;robot vacuum;bagged vacuum,yes,Vacuum cleaners up to 1500 W with a dust bag or receptacle.
