code,predecessor,relation,predecessor_valid_to,note,retired_in,valid_to,successors,continuity

# ---------------------------------------------------------------------------
# HS 2022 is the base. This file records two different things.
#
# 1. WHERE A CURRENT CODE'S HISTORY CAME FROM  (relation identical/split/merge/new)
#
# code                  the current HS 2022 code - the one HStat publishes
# predecessor           the older code its trade used to be reported under
# relation              identical | split | merge | new
# predecessor_valid_to  last year the predecessor was the live code
# note                  one plain sentence, shown on the product page
#
#   identical  The code was renumbered but its scope did not change. The
#              predecessor's years are spliced onto the front of the series.
#
#   split      One old code became several new ones. The old total belongs to
#              all of them jointly and cannot be divided without inventing a
#              share, so HStat does NOT splice it. The six-digit series starts
#              when the code does, and the page points at the HS-4 heading,
#              where the split is internal and the series really is continuous.
#
#   merge      Several old codes became one. Same treatment as split.
#
#   new        No predecessor - the code covers goods that were scattered
#              across several headings before. Nothing to splice or point at.
#
# A predecessor listed here is not a current code, so it gets no product page
# of its own. Its data is still pulled: it is what makes the HS-4 and HS-2
# series continuous, and searching the old number tells you where it went.
#
#
# 2. WHERE A PUBLISHED CODE'S HISTORY WENT  (relation retired)
#
# These are codes HStat still publishes that the nomenclature has since
# dropped. They are nobody's successor, so form 1 cannot describe them, and
# without a record here they read as ordinary products whose recent years
# failed coverage. They did fail coverage - but because a handful of reporters
# kept filing under a dead number, not because the world stopped trading.
#
# code          the retired code (it keeps its product page)
# relation      retired
# retired_in    the HS revision that dropped it - 2017 or 2022
# valid_to      last year the code was live in the nomenclature
# successors    space-separated codes that took over, verified against the WCO
#               correlation tables. Empty if nothing took over.
# continuity    what may be said about those successors as a group:
#
#   exhaustive   Together they cover exactly what this code covered and
#                nothing else. Their sum is comparable with this code's series.
#   partial      They cover this code but also absorb trade from elsewhere, or
#                one of them already existed and carries its own earlier
#                trade. Their sum is NOT comparable with this code's series.
#   unconfirmed  The WCO tables do not state a usable mapping. Say nothing
#                about the totals.
#
# NOTHING IN THIS FILE IS EVER SPLICED ONTO A RETIRED CODE. A retired code's
# series ends where the nomenclature ended it. continuity decides what the
# page is allowed to SAY about the successors, never what it adds up.
#
# Lines starting with # are ignored.
# ---------------------------------------------------------------------------

# --- 851712 -> smartphones and other cellular handsets ----------------------
851713,851712,split,2021,Before 2022 smartphones were reported inside HS 851712 together with other cellular handsets. The continuous long series is at HS-4 8517.,,,,
851714,851712,split,2021,Before 2022 other cellular handsets were reported inside HS 851712 together with smartphones. The continuous long series is at HS-4 8517.,,,,

# --- 854140 -> photosensitive semiconductor devices, subdivided -------------
854141,854140,split,2021,Before 2022 LEDs were reported inside HS 854140 with all other photosensitive devices. The continuous long series is at HS-4 8541.,,,,
854142,854140,split,2021,Before 2022 unassembled photovoltaic cells were reported inside HS 854140. The continuous long series is at HS-4 8541.,,,,
854143,854140,split,2021,Before 2022 solar modules were reported inside HS 854140 with all other photosensitive devices. The continuous long series is at HS-4 8541.,,,,
854149,854140,split,2021,Before 2022 these devices were reported inside HS 854140. The continuous long series is at HS-4 8541.,,,,

# --- 852580 -> cameras, subdivided ------------------------------------------
852581,852580,split,2021,Before 2022 all television and digital cameras were reported inside HS 852580. The continuous long series is at HS-4 8525.,,,,
