hs8,description,display_name
83111000,COAT ELCTRD OF BS MTL FR ELCTRC ARC WLDNG,Coated welding electrodes
83112000,CORED WIRE OF BS MTL FR ELCTRC ARC WLDNG,Cored welding wire
83113010,WIRE AND RODS OF AGGLOMERATED BASE METAL POWDER USED FOR METAL SPRAYING,Sprayed-metal rods and wire
83113090,OTHER COATED RODS AND CORED WIRE OF BASE METAL FOR SOLDERNG BRAZING/WELDNG BY FLAME,Coated rods for flame brazing
84433100,"MACHINES WHICH PERFORM TWO OR MORE OF THE FUNCTIONS OF PRINTING, COPYING OR FACSIMILE TRANSMISSION, CAPABLE OF C","Print, copy and fax combined"
84433210,LINE PRINTER,Line printers
84433220,DOT MATRIC PRINTER,Dot-matrix printers
84433230,LETTER QUALITY DAISY WHEEL PRINTER,Daisy-wheel printers
84433240,LASER ZET PRINTER,Laser printers
84433250,INK JET PRINTER,Inkjet printers
84433260,FACSIMILE MACHINE,"Fax machines, networked"
84433290,"OTHERS-OF-OTHER, CAPABLE OF CONNECTING TO ANAUTOMATIC DATA PROCESSING MACHINE OR TO A NETWORK","Networked printers, other"
84433910,INK-JET PRINTNG MACHINERY,Inkjet printing machinery
84433920,ELCTROSTATIC PHOTO-COPYNG APARATS OPERATNGBY REPRODUCNG THE ORGNL IMAGE DIRECTLY ONTO THE COPY (DIRECT PR,Direct-process photocopiers
84433930,ELCTROSTATIC PHOTO-COPYNG APARATS OPERATNGBY REPRODUCNG THE ORGNL IMAGE VIA AN INTRMDTE ONTO THE COPY(INDIR,Indirect-process photocopiers
84433940,PHOTO-COPYNG APRTS INCRPTNG AN OPTCL SYSTM,Optical-system photocopiers
84433950,PHOTO COPYNG APRTS OF THE CONTACT TYPE,Contact photocopiers
84433960,THERMO-COPYING APPARATUS,Thermal copiers
84433970,FACSIMILE MACHINE NOT CAPABLE OF GETTING CONNECTED TO AUTOMATIC DATA PROCESSING MACHINE,"Fax machines, standalone"
84433990,"OTHERS-OF-OTHERS-OF-PRINTNG MACHNRY,INCL INK-JET PRINTNGMCHNSEXCL HDNG. NO 8471; MCHNS FR USES ANCILARY TO PRINTNG.","Printing machinery, other"
84439100,"PARTS AND ACCESSORIES OF PRINTING MACHINERY USED FOR PRINTING BY MEANS OF PLATES, CYLINDERS AND OTHER PRINTING",Plate and cylinder press parts
84439910,AUTOMTIC FEEDRS AND SHEET DELIVRNG MACHINE,Automatic sheet feeders
84439920,PAPER FEEDERS,Paper feeders
84439930,SORTERS,Sorters
84439940,OTHER PRTS AND ACCSRS OF HDNG 9009,Photocopier parts
84439951,"CARTRIDGES OR TONERS, WITH PRINT HEAD ASSEMBLY",Cartridges with print head
84439952,"CARTRIDGES OR TONERS, WITHOUT PRINT HEAD ASSEMBLY",Cartridges without print head
84439953,INK SPRAY NOZZLE,Ink spray nozzles
84439959,"OTHER PARTS AND ACCESSORIES OF GOODS OF SUB-HEADING 844331, 844332",Parts for networked printers
84439960,PARTS AND ACCESSORIES OF GOODS OF SUB- HEADING 8443 39,Parts for standalone printers
84439990,PRTS OF OTHR PRNTNG MCHNRY AND MCHNS FR USES ANCILLARY TO PRINTING,"Printing machinery parts, other"
84701000,ELCTRNC CALCULTRS CAPBL OF OPERTN EXCL EXTRNL SOURC OF ELCTRC POWR AND POCKT-SIZ DATA RECORDNG AND DISPLAYNG MACHNS,"Pocket calculators, no mains power"
84702100,ELECTRONIC CALCULATING MACHINES INCORPORATING PRINTING DEVICE,Calculators with printer
84702900,OTHR ELCTRNC CALCULTNG MCHNS,Desktop electronic calculators
84703000,OTHR CALCULATING MACHINES,Non-electronic calculators
84705010,ELECTRICALLY OPERATED CASH REGISTRS,Electric cash registers
84709010,ELECTRICALLY OPARATED ACCOUNTING MACHINES,Electric accounting machines
84713010,"PERSONAL COMPUTER (LAPTOP,PALMTOP,ETC)",Laptops and palmtops
